order_month,customer_state,product_category_name,payment_type,cuboid_level,support_count,order_count,total_sales,avg_review_score,avg_delivery_days
ALL,ALL,esporte_lazer,boleto,2,1795,1586,210088.56,4.157660167130919,8.596100278551532
ALL,GO,ALL,credit_card,2,1785,1506,277921.02999999997,4.007282913165266,11.584873949579832
2017-11,ALL,ALL,boleto,2,1785,1487,224276.28,3.831932773109244,9.862745098039216
ALL,SP,brinquedos,ALL,2,1772,1612,217414.84999999998,4.222911963882619,4.933972911963883
2018-01,ALL,ALL,boleto,2,1758,1503,204454.97999999998,3.9397042093287826,9.724687144482367
ALL,ALL,moveis_decoracao,boleto,2,1751,1339,181020.99,3.893774985722444,8.905197030268418
ALL,ES,ALL,credit_card,2,1736,1560,254985.43999999997,4.028225806451613,11.755760368663594
2017-05,SP,ALL,ALL,2,1733,1405,226717.99000000002,4.130986728216965,5.505481823427583
ALL,SP,telefonia,ALL,2,1716,1521,127440.90999999999,4.0093240093240095,4.148601398601398
ALL,SP,ferramentas_jardim,ALL,2,1635,1267,193434.44,4.191437308868502,6.0758409785932725
ALL,RS,ALL,boleto,2,1614,1348,192704.23,4.014869888475836,10.878562577447337
2018-03,ALL,ALL,boleto,2,1591,1347,192281.05,3.680075424261471,11.406033940917661
2017-06,SP,ALL,ALL,2,1590,1316,209499.11,4.140880503144654,6.089937106918239
2018-02,ALL,ALL,boleto,2,1571,1321,184422.4,3.769573520050923,12.465308720560152
ALL,ALL,fashion_bolsas_e_acessorios,credit_card,2,1545,1392,149340.91,4.1029126213592235,8.151456310679611
ALL,SP,perfumaria,ALL,2,1543,1365,191753.2,4.167854828256643,5.391445236552171
2018-04,ALL,ALL,boleto,2,1529,1287,195004.0,4.067364290385873,8.07128842380641
ALL,ALL,pet_shop,credit_card,2,1526,1342,209264.36,4.182830930537353,7.775884665792923
2017-02,ALL,ALL,credit_card,2,1499,1313,231453.81,4.05003335557038,8.601067378252168
2018-05,ALL,ALL,boleto,2,1499,1260,195112.66,4.107404936624416,8.33555703802535
ALL,PE,ALL,credit_card,2,1477,1323,272119.96,3.955314827352742,14.259986459038592
ALL,SP,cool_stuff,ALL,2,1449,1314,246997.58000000002,4.242926155969634,4.942028985507246
2018-07,ALL,ALL,boleto,2,1440,1220,197938.07,4.228472222222222,5.7972222222222225
ALL,MG,cama_mesa_banho,ALL,2,1421,1129,168888.7,3.7980295566502464,9.446164672765658
2017-12,ALL,ALL,boleto,2,1333,1154,165777.51,3.94973743435859,10.890472618154538
ALL,SP,bebes,ALL,2,1330,1184,189184.1,4.139097744360902,5.062406015037594
ALL,ALL,utilidades_domesticas,boleto,2,1328,1044,135632.0,4.109186746987952,7.362198795180723
ALL,PR,ALL,boleto,2,1284,1103,154655.33,4.119158878504673,8.281152647975079
2018-08,ALL,ALL,boleto,2,1282,1138,143430.56,4.233229329173167,4.930577223088924
2018-06,ALL,ALL,boleto,2,1265,1099,153270.62,4.324110671936759,5.996837944664032
2017-11,RJ,ALL,ALL,2,1258,1040,181217.94,3.541335453100159,13.90302066772655
ALL,ALL,unknown,credit_card,2,1241,1122,162277.91999999998,3.8767123287671232,8.190975020145045
2017-03,SP,ALL,ALL,2,1227,998,167757.34,4.154849225753871,6.044824775876121
ALL,CE,ALL,credit_card,2,1224,1077,233488.86000000002,3.804738562091503,17.040032679738562
ALL,ALL,moveis_escritorio,credit_card,2,1201,897,249627.02000000002,3.498751040799334,9.749375520399667
2017-10,ALL,ALL,boleto,2,1179,974,138869.34,4.037319762510602,7.602205258693808
ALL,RJ,moveis_decoracao,ALL,2,1168,858,131746.34999999998,3.654109589041096,11.8125
2017-11,MG,ALL,ALL,2,1144,932,163944.78999999998,4.048076923076923,9.627622377622378
ALL,MG,beleza_saude,ALL,2,1113,1011,181501.56,4.2533692722371965,7.9748427672955975
ALL,RJ,beleza_saude,ALL,2,1112,974,168892.6,4.039568345323741,9.33093525179856
2018-02,RJ,ALL,ALL,2,1110,916,146877.65,3.1594594594594594,18.91171171171171
ALL,SP,papelaria,ALL,2,1106,982,110198.0,4.331826401446655,4.992766726943942
2018-03,RJ,ALL,ALL,2,1101,906,150501.59,3.196185286103542,19.140781108083562
ALL,RJ,esporte_lazer,ALL,2,1094,925,158104.94,3.846435100548446,11.840950639853748
2017-04,SP,ALL,ALL,2,1084,901,158588.75,4.031365313653136,7.807195571955719
2018-01,RJ,ALL,ALL,2,1084,887,151026.47,3.6549815498154983,13.638376383763838
2017-08,ALL,ALL,boleto,2,1070,928,133236.67,4.164485981308411,7.56822429906542
2017-09,ALL,ALL,boleto,2,1046,888,130112.81,4.135755258126195,8.046845124282983
ALL,RJ,informatica_acessorios,ALL,2,1045,859,145747.96000000002,3.845933014354067,11.879425837320575
ALL,SP,eletronicos,ALL,2,1044,938,67338.14,4.244252873563219,5.316091954022989
ALL,MG,informatica_acessorios,ALL,2,1042,877,134247.37,3.920345489443378,8.383877159309021
2017-11,ALL,cama_mesa_banho,ALL,2,1036,817,111713.98999999999,3.6167953667953667,11.3503861003861
